VBAK_VBELN,VBAK_VKORG,VBAK_ERDAT,VBAK_VDATU,VBEP_EDATU,VBAP_POSNR,VBAP_ARKTX,VBAP_KWMENG,VBAP_MATNR,LIKP-VBELN,LIKP_WADAT_IST,LIPS_POSNR,LIPS_VGBEL,LIPS_LFIMG
8205,1,20000428,20000428,20000428,10,Transportation Charges,"1,000",95000241,80009757,0,10,8205,"1,000"
8206,1,20000428,20000428,20000428,10,Transportation charges,"1,000",95000241,80009758,0,10,8206,"1,000"
8207,1,20000428,20000428,20000428,10,Transportation charges,"1,000",95000241,80009759,0,10,8207,"1,000"
8228,1,20000503,20000503,20000503,10,Transportation Charges,"1,000",95000241,80009795,0,10,8228,"1,000"
8230,1,20000503,20000503,20000503,10,Transportation Charges,"1,000",95000241,80009796,0,10,8230,"1,000"
8235,1,20000503,20000503,20000503,10,Transportation Charges,"1,000",95000241,80009798,0,10,8235,"1,000"
8236,1,20000503,20000503,20000503,10,Transportation charges,"1,000",95000241,80009799,0,10,8236,"1,000"
8239,1,20000503,20000503,20000503,10,Transportation Charges,"1,000",95000241,80009801,0,10,8239,"1,000"
8241,1,20000503,20000503,20000503,10,Transportation Charges,"1,000",95000241,80009803,0,10,8241,"1,000"
8242,1,20000503,20000503,20000503,10,Transoportation Charges,"1,000",95000241,80009804,0,10,8242,"1,000"
8244,1,20000503,20000503,20000503,10,Transportation Charges,"1,000",95000241,80009806,0,10,8244,"1,000"
8270,1,20000505,20000505,20000505,10,Transportation Charges,"1,000",95000241,80009840,0,10,8270,"1,000"
8281,1,20000508,20000508,20000508,10,Transportation Charges,"1,000",95000241,80009850,0,10,8281,"1,000"
8310,1,20000510,20000510,20000510,10,Transportation Charges,"1,000",95000241,80009891,0,10,8310,"1,000"
8311,1,20000510,20000510,20000510,10,Transportation Charges,"1,000",95000241,80009892,0,10,8311,"1,000"
8312,1,20000510,20000510,20000510,10,Transportation Charges,"1,000",95000241,80009893,0,10,8312,"1,000"
8329,1,20000515,20000515,20000515,10,Transportation Charges,"1,000",95000241,80009919,0,10,8329,"1,000"
8330,1,20000515,20000515,20000515,10,Transportation charges,"1,000",95000241,80009920,0,10,8330,"1,000"
8331,1,20000515,20000515,20000515,10,Transportation Charges,"1,000",95000241,80009921,0,10,8331,"1,000"
8332,1,20000515,20000515,20000515,10,Transportation Charges,"1,000",95000241,80009922,0,10,8332,"1,000"
8333,1,20000515,20000515,20000515,10,Transportation Charges,"1,000",95000241,80009923,0,10,8333,"1,000"
8377,1,20000517,20000523,20000526,10,Z062H1200-200-00-Label OBRM A321,"600,000",95000241,80010227,0,10,8377,"600,000"
8378,1,20000517,20000523,20000526,10,Z011H1120-212-00-PLACARD,"700,000",95000241,80010228,0,10,8378,"700,000"
8379,1,20000517,20000523,20000714,20,Service,"600,000",95000241,80010229,0,10,8379,"600,000"
8379,1,20000517,20000523,20000526,20,Service,"600,000",95000241,80010229,0,10,8379,"600,000"
8384,1,20000517,20000517,20000517,10,Charges of development,"1,000",95000241,80009993,0,10,8384,"1,000"
8581,1,20000523,20000523,20000523,10,Transportation Charges,"1,000",95000241,80010107,0,10,8581,"1,000"
8582,1,20000523,20000523,20000523,10,Transportation charges,"1,000",95000241,80010108,0,10,8582,"1,000"
8583,1,20000523,20000523,20000523,10,Transportation charges,"1,000",95000241,80010109,0,10,8583,"1,000"
8585,1,20000523,20000523,20000523,10,Transportation Charges,"1,000",95000241,80010110,0,10,8585,"1,000"
8608,1,20000524,20000524,20000524,10,Transportation Charges,"1,000",95000241,80010150,0,10,8608,"1,000"
8613,1,20000525,20000525,20000525,10,Transportation Charges,"1,000",95000241,80010166,0,10,8613,"1,000"
8614,1,20000525,20000525,20000525,10,Transportation Charges,"1,000",95000241,80010176,0,10,8614,"1,000"
8710,1,20000607,20000607,20000607,10,Charges of development P/N Z051H0021061,"1,000",95000241,80010265,0,10,8710,"1,000"
8744,1,20000613,20000613,20000613,10,Transportation charges,"1,000",95000241,80010285,0,10,8744,"1,000"
8745,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010286,0,10,8745,"1,000"
8746,1,20000613,20000613,20000613,10,Transportation charges,"1,000",95000241,80010287,0,10,8746,"1,000"
8747,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010288,0,10,8747,"1,000"
8748,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010289,0,10,8748,"1,000"
8749,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010290,0,10,8749,"1,000"
8750,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010291,0,10,8750,"1,000"
8751,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010292,0,10,8751,"1,000"
8752,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010293,0,10,8752,"1,000"
8753,1,20000613,20000613,20000613,10,Transportation Charges,"1,000",95000241,80010294,0,10,8753,"1,000"
8876,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010355,0,10,8876,"1,000"
8877,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010356,0,10,8877,"1,000"
8878,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010357,0,10,8878,"1,000"
8880,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010358,0,10,8880,"1,000"
8881,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010359,0,10,8881,"1,000"
8883,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010360,0,10,8883,"1,000"
8886,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010361,0,10,8886,"1,000"
8889,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010362,0,10,8889,"1,000"
8890,1,20000620,20000620,20000620,10,Transportation Charges,"1,000",95000241,80010363,0,10,8890,"1,000"
8956,1,20000628,20000630,20000630,10,Z062H0002119- OBRM,"9,000",95000241,80010500,0,10,8956,"9,000"
8967,1,20000629,20000629,20000629,10,Z051H1200-200-00- Placard,"200,000",95000241,80010519,0,10,8967,"200,000"
9016,1,20000706,20000706,20000706,10,P/N Z031H0001110 - S/N 14530,"1,000",95000241,80010571,0,10,9016,"1,000"
9031,1,20000712,20000710,20000710,10,Transportation Charges,"1,000",95000241,80010617,0,10,9031,"1,000"
9032,1,20000712,20000712,20000712,10,Transportation Charges,"1,000",95000241,80010618,0,10,9032,"1,000"
9033,1,20000712,20000712,20000712,10,Transportation Charges,"1,000",95000241,80010619,0,10,9033,"1,000"
9034,1,20000712,20000712,20000712,10,Transportation Charges,"1,000",95000241,80010620,0,10,9034,"1,000"
9035,1,20000712,20000712,20000712,10,Transportation Charges,"1,000",95000241,80010621,0,10,9035,"1,000"
9046,1,20000713,20000713,20000713,10,Z061H0000114-OBRM,"2,000",95000241,80010634,0,10,9046,"2,000"
9053,1,20000714,20000714,20000714,10,Z051H0045011-CAM,"1,000",95000241,80010644,0,10,9053,"1,000"
9065,1,20000717,20000717,20000717,10,Transportation Charges,"1,000",95000241,80010664,0,10,9065,"1,000"
9066,1,20000717,20000717,20000717,10,Transportation Charges,"1,000",95000241,80010665,0,10,9066,"1,000"
9067,1,20000717,20000717,20000717,10,Transportation Charges,"1,000",95000241,80010666,0,10,9067,"1,000"
9083,1,20000719,20000719,20000719,10,Transportation Charges,"1,000",95000241,80010699,0,10,9083,"1,000"
9084,1,20000719,20000719,20000719,10,Transportation Charges,"1,000",95000241,80010700,0,10,9084,"1,000"
9241,1,20000815,20000815,20000815,10,Transportation Charges,"1,000",95000241,80010922,0,10,9241,"1,000"
9242,1,20000815,20000815,20000815,10,Transportation Charges,"1,000",95000241,80010923,0,10,9242,"1,000"
9243,1,20000815,20000815,20000815,10,Transportation Charges,"1,000",95000241,80010924,0,10,9243,"1,000"
9244,1,20000815,20000815,20000815,10,Transportation Charges,"1,000",95000241,80010925,0,10,9244,"1,000"
9245,1,20000816,20000816,20000816,10,Transportation Charges,"1,000",95000241,80010926,0,10,9245,"1,000"
9246,1,20000816,20000816,20000816,10,Transportation Charges,"1,000",95000241,80010927,0,10,9246,"1,000"
9247,1,20000816,20000816,20000816,10,Transportation Charges,"1,000",95000241,80010928,0,10,9247,"1,000"
9251,1,20000816,20000816,20000816,10,Z011H0002114-DIRECTOR,"1,000",95000241,80010930,0,10,9251,"1,000"
9310,1,20000817,20000817,20000817,10,Z011H0002116-Director,"1,000",95000241,80010951,0,10,9310,"1,000"
9592,1,20000829,20000829,20000828,10,P/N Z051H6020020-CAM - S/N 00099,"1,000",95000241,80011176,0,10,9592,"1,000"
9623,1,20000901,20000901,20000901,10,Transportation Charges,"1,000",95000241,80011241,0,10,9623,"1,000"
9624,1,20000901,20000901,20000901,10,Z050H5829JE1-CIDS CAM,"1,000",95000241,80011242,0,10,9624,"1,000"
9635,1,20000904,20000904,20000904,10,Transportationcharges,"1,000",95000241,80011258,0,10,9635,"1,000"
9640,1,20000904,20000904,20000904,10,Transportation charges,"1,000",95000241,80011259,0,10,9640,"1,000"
9641,1,20000904,20000904,20000904,10,Transportation charges,"1,000",95000241,80011260,0,10,9641,"1,000"
9643,1,20000904,20000904,20000904,10,Transportation Charges,"1,000",95000241,80011261,0,10,9643,"1,000"
9716,1,20000913,20000913,20000913,10,Z051H7821015-CIDS CAM - S/N 00121,"1,000",95000241,80011347,0,10,9716,"1,000"
9742,1,20000915,20000915,20000915,10,Transportation Charges,"1,000",95000241,80011388,0,10,9742,"1,000"
9743,1,20000915,20000915,20000915,10,Transportation Charges,"1,000",95000241,80011389,0,10,9743,"1,000"
9744,1,20000915,20000915,20000915,10,Transportationcharges,"1,000",95000241,80011390,0,10,9744,"1,000"
9745,1,20000915,20000915,20000915,10,Transportation Charges,"1,000",95000241,80011391,0,10,9745,"1,000"
9928,1,20000928,20001006,20001006,30,Z061H0000116-OBRM,"10,000",95000241,80011736,0,10,9928,"10,000"
9992,1,20001010,20001108,20010514,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010313,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010507,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010415,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010430,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010614,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20001108,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010401,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010323,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010306,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010301,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010222,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010212,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010204,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010127,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010114,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20010110,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20001230,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20001219,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9992,1,20001010,20001108,20001125,10,Z275H2130110-ISPS-PLP,"2.350,000",86060710,80015095,0,10,9992,0
9995,1,20001010,20001031,20001031,10,Z050H6021011-CIDS CAM,"1,000",95000241,80011941,0,10,9995,"1,000"
9995,1,20001010,20001031,20001031,20,Z050H6021011-CIDS CAM,"2,000",95000241,80011939,0,20,9995,"2,000"
10023,1,20001011,20001012,20001012,10,Z050H580W010-CIDS CAM,"2,000",95000371,80011747,0,10,10023,"2,000"
10033,1,20001012,20001016,20001016,10,TSG8511VP-Intergrated Circuit,"10,000",95000371,80011753,0,10,10033,"10,000"
10034,1,20001012,20001012,20001012,10,Transportation Charges,"1,000",95000241,80011754,0,10,10034,"1,000"
10035,1,20001012,20001012,20001012,10,Transportation Charges,"1,000",95000241,80011755,0,10,10035,"1,000"
10036,1,20001012,20001012,20001012,10,Transportation charges,"1,000",95000241,80011756,0,10,10036,"1,000"
10037,1,20001012,20001012,20001012,10,Transportation Charges,"1,000",95000241,80011757,0,10,10037,"1,000"
10038,1,20001012,20001012,20001012,10,Transportation Charges,"1,000",95000241,80011758,0,10,10038,"1,000"
10055,1,20001013,20001014,20001014,10,Z050H600W010-CAM-CABIN ASSIGNMENT MODUL,"2,000",95000371,80011778,0,10,10055,"2,000"
10081,1,20001018,20001019,20001019,20,Z050H600W01X-CAM-CABIN ASSIGNMENT MODUL,"1,000",95000371,80011814,0,20,10081,"1,000"
10081,1,20001018,20001019,20001019,10,Z050H600W01Y-CAM-CABIN ASSIGNMENT MODUL,"1,000",95000371,80011814,0,10,10081,"1,000"
10190,1,20001023,20001024,20001024,10,Test Adapter,"1,000",95000241,80011942,0,10,10190,"1,000"
10190,1,20001023,20001024,20001024,10,Test Adapter,"1,000",95000241,80011942,0,10,10190,"1,000"
10268,1,20001030,20001030,20001030,10,Transportation Charges,"1,000",95000241,80012075,0,10,10268,"1,000"
10269,1,20001030,20001030,20001030,20,Transportation charges,"1,000",95000241,80012076,0,20,10269,"1,000"
10269,1,20001030,20001030,20001030,30,Transportation charges,"1,000",95000241,80012076,0,30,10269,"1,000"
10269,1,20001030,20001030,20001030,10,Transportation charges,"1,000",95000241,80012076,0,10,10269,"1,000"
10269,1,20001030,20001030,20001030,40,Transportation charges,"1,000",95000241,80012076,0,40,10269,"1,000"
10269,1,20001030,20001030,20001030,60,Transportation charges,"1,000",95000241,80012076,0,60,10269,"1,000"
10269,1,20001030,20001030,20001030,50,Transportation charges,"1,000",95000241,80012076,0,50,10269,"1,000"
10289,1,20001101,20001105,20001105,10,Development of CAM-Software,"1,000",95000371,80012103,0,10,10289,"1,000"
10306,1,20001103,20001103,20001103,10,Z010H0005119-CIDS Director,"1,000",95000241,80012138,0,10,10306,"1,000"
10430,1,20001114,20001114,20001114,10,MCCT Lease - 1. July 00 - 31. January 01,"1,000",95000241,80012316,0,10,10430,"1,000"
10464,1,20001116,20001115,20001116,10,Z050H6068020-CIDS CAM Adv. Exchange,"3,000",95000241,80012367,0,10,10464,"3,000"
10479,1,20001117,20001117,20001117,10,Development charges of Z050H6068020,"1,000",95000241,80012381,0,10,10479,"1,000"
10606,1,20001129,20001129,20001129,10,Transportion Charges,"1,000",95000241,80012515,0,10,10606,"1,000"
10607,1,20001129,20001129,20001129,10,Transportation charges,"1,000",95000241,80012516,0,10,10607,"1,000"
10608,1,20001129,20001129,20001129,10,Transportation Charges,"1,000",95000241,80012517,0,10,10608,"1,000"
10609,1,20001129,20001129,20001129,10,Transportation Charges,"1,000",95000241,80012518,0,10,10609,"1,000"
10610,1,20001129,20001129,20001129,10,Tranportation Charges,"1,000",95000241,80012519,0,10,10610,"1,000"
10611,1,20001129,20001129,20001129,10,Transportation Charges,"1,000",95000241,80012520,0,10,10611,"1,000"
10613,1,20001129,20001129,20001129,10,Transportation Charges,"1,000",95000241,80012522,0,10,10613,"1,000"
10735,1,20001207,20001207,20001207,10,AIP P/N Z111H0023112 - S/N 02349,"1,000",95000241,80012629,0,10,10735,"1,000"
10775,1,20001211,20001212,20001212,10,Z280H3021112-OUTLET UNIT,"30,000",95000371,80012670,0,10,10775,"30,000"
10909,1,20001222,20001222,20001222,10,CAM P/N Z050H0057050 - S/N 02447,"1,000",95000241,80012822,0,10,10909,"1,000"
10925,1,20010102,20010301,20010301,10,Z051H0077030-CAM,"1,000",95000371,80015055,0,10,10925,"1,000"
11009,1,20010105,20010105,20010105,20,Z059H0000-110-00-CAM COMPILER,"1,000",95000241,80012936,0,10,11009,"1,000"
11059,1,20010108,20010108,20010108,20,Z071K2201110-Board,"1,000",95000241,80012938,0,20,11059,"1,000"
11059,1,20010108,20010108,20010108,10,Z071K2400110-Board,"1,000",95000241,80012938,0,10,11059,"1,000"
11065,1,20010108,20010109,20010109,10,Z062H0002119-OBRM,"1,000",95000241,80012942,0,10,11065,"4,000"
11128,1,20010112,20010112,20010112,20,P/N Z010H2202110 DIGITAL I/O BOARD,"2,000",95000241,80013028,0,20,11128,"2,000"
11128,1,20010112,20010112,20010112,10,P/N Z010H2402110 AUDIO INPUT BOARD,"1,000",95000241,80013028,0,10,11128,"1,000"
11192,1,20010118,20010131,20010131,10,Z050H1200-200-00-Placard,"100,000",95000241,80014566,0,10,11192,"100,000"
11192,1,20010118,20010131,20010410,20,Z051H1200-200-00-Placard,"100,000",95000241,80014566,0,20,11192,"100,000"
11279,1,20010129,20010130,20010130,10,P/N Z250H2103110- Reading light,"1,000",95000241,80013291,0,10,11279,"1,000"
11281,1,20010129,20010130,20010130,10,Z061H0000116- OBRM,"1,000",95000241,80013294,0,10,11281,"1,000"
11331,1,20010205,20010205,20010205,10,Transportation charges,"1,000",95000241,80013420,0,10,11331,"1,000"
11332,1,20010205,20010205,20010205,10,Transportation charges,"1,000",95000241,80013421,0,10,11332,"1,000"
11333,1,20010205,20010205,20010205,10,Transportation charges,"1,000",95000241,80013422,0,10,11333,"1,000"
11334,1,20010205,20010205,20010205,10,Transportation Charges,"1,000",95000241,80013423,0,10,11334,"1,000"
11335,1,20010205,20010205,20010205,10,Tranportation Charges,"1,000",95000241,80013424,0,10,11335,"1,000"
11336,1,20010205,20010205,20010205,10,Transportation Charges,"1,000",95000241,80013425,0,10,11336,"1,000"
11337,1,20010205,20010205,20010205,10,Transportation Charges,"1,000",95000241,80013426,0,10,11337,"1,000"
11338,1,20010205,20010205,20010205,10,Transportation Charges,"1,000",95000241,80013427,0,10,11338,"1,000"
11339,1,20010205,20010205,20010205,10,Transportation Charges,"1,000",95000241,80013428,0,10,11339,"1,000"
11401,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013493,0,10,11401,"1,000"
11403,1,20010207,20010207,20010207,10,Transportation charges,"1,000",95000241,80013495,0,10,11403,"1,000"
11404,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013496,0,10,11404,"1,000"
11405,1,20010207,20010207,20010207,10,Transport Charges,"1,000",95000241,80013497,0,10,11405,"1,000"
11406,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013498,0,10,11406,"1,000"
11407,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013499,0,10,11407,"1,000"
11409,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013501,0,10,11409,"1,000"
11411,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013503,0,10,11411,"1,000"
11412,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013504,0,10,11412,"1,000"
11413,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013505,0,10,11413,"1,000"
11414,1,20010207,20010207,20010207,10,Transportation charges,"1,000",95000241,80013506,0,10,11414,"1,000"
11416,1,20010207,20010207,20010207,10,Transportation charges,"1,000",95000241,80013508,0,10,11416,"1,000"
11417,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013510,0,10,11417,"1,000"
11418,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013513,0,10,11418,"1,000"
11419,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013516,0,10,11419,"1,000"
11420,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013518,0,10,11420,"1,000"
11422,1,20010207,20010207,20010207,10,Transportation Charges,"1,000",95000241,80013520,0,10,11422,"1,000"
11525,1,20010213,20010213,20010213,10,"Development charges, P/N Z051H6068010","1,000",95000241,80013622,0,10,11525,"1,000"
11528,1,20010214,20010215,20010215,10,"A925-92388-002-00, Panel","1,000",95000241,80013624,0,10,11528,"1,000"
11544,1,20010216,20010219,20010531,10,Z060H1200-202-00-PLACARD,"72,000",95000241,80013674,0,10,11544,"72,000"
11544,1,20010216,20010219,20010219,10,Z060H1200-202-00-PLACARD,"72,000",95000241,80013674,0,10,11544,"72,000"
11557,1,20010219,20010219,20010219,10,"P/N Z050H6007050, Adv. Exchange","1,000",95000241,80013684,0,10,11557,"1,000"
11559,1,20010219,20010219,20010219,10,Development of P/N Z050H6007050,"1,000",95000241,80013685,0,10,11559,"1,000"
11664,1,20010226,20010226,20010226,10,Cam Compiler,"1,000",95000241,80013767,0,10,11664,"1,000"
11681,1,20010227,20010227,20010227,10,Development of P/N Z050H6003040,"1,000",95000241,80013811,0,10,11681,"1,000"
11682,1,20010227,20010315,20010315,10,Adv. Exchange P/N Z050H6003040,"15,000",95000241,80014061,0,10,11682,"15,000"
11706,1,20010228,20010301,20010301,10,CAM P/N Z051H6030011 - S/N 01853,"1,000",95000241,80013837,0,10,11706,"1,000"
11748,1,20010302,20010302,20010302,10,Transportation charges,"1,000",95000241,80013875,0,10,11748,"1,000"
11749,1,20010302,20010302,20010302,10,Transportation Charges,"1,000",95000241,80013876,0,10,11749,"1,000"
11750,1,20010302,20010302,20010302,10,Transportation Charges,"1,000",95000241,80013877,0,10,11750,"1,000"
